,"OKFFI ry 2014","school of data.fi","Datademo 2014 / Open Knowledge Finland ry","Avoin GLAM 2014 / Open Knowledge Finland ry","Tukea avoimeen lisensointiin -projekti / Open Knowledge Finland ry","My Data  / Open Knowledge Finland ry","Open Decisions / OKF FInland","OKFFI - Open Knowledge Roadshow 2013","D-CENT / Open Knowledge Finland ry","Sujuvuusnavigaattori / Open Knowledge Finland ry","6. aika / Open Knowledge Finland ry","Kohti avointa kulttuuria -projekti / Open Knowledge Finland ry","Apps4Finland / Open Knowledge Finland ry","OKFFI ry 2013"
"Muut koulutuskulut",-0,-0,-0,-0,-1591.39,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Tiedotusmateriaalin teettäminen",-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Yleiskategoria",-0,-0,-0,-0.00,-0,-0,-0.00,-0,-0.00,-0,-0,-0,-0.00,-0
"OKF Roadshow 2013",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-24500.00
"Verkoston tilavuokrat",-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"1. kierroksen työpaketteihin",-0,-0,-14200.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"OKFFIn hallinnointi ja sivukulut",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7800.00,-0,-0
"Matkalulut",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0
"Mgmt overhead WP5",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"Markkinointi",-0,-0,-0,-0,-0,-0,-0,-96.02,-0,-0,-0,-0,-0,-0
"Verkkokurssin tuotanto",-0,-0,-0,-0,-28.50,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Palkat ja palkkiot",-0,-0,-0,-0,-0,-4417.62,-496.00,-0,-0,-0,-2499.10,-0,-0,-0
"Päätöstilaisuus",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-2041.00,-0,-0
"Materiaalikulut",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-187.70,-0,-0
"Maksetut palkkiot",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4204.62,-0,-0
"Other Expences",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-3603.00
